query	accession	host_context	chromosome	ref_id	chromosome_class	chromosome_length_bp	aligned_bp	percent_aligned	alignment_blocks	weighted_mean_identity	largest_block_bp	same_orientation_aligned_bp	opposite_orientation_aligned_bp
Fo47	GCF_013085055.1	endophyte_biocontrol	1	NC_030986.1	core	6854980	5891236	85.9410	303	98.7583	223849	223283	5668473
Fo47	GCF_013085055.1	endophyte_biocontrol	2	NC_030987.1	core	5577357	4595792	82.4009	329	98.4796	171860	114106	4484521
Fo47	GCF_013085055.1	endophyte_biocontrol	3	NC_030988.1	lineage_specific	5634991	600193	10.6512	384	95.0068	29576	370349	237731
Fo47	GCF_013085055.1	endophyte_biocontrol	4	NC_030989.1	core	5212762	4878137	93.5807	240	98.5381	171251	11341	4868184
Fo47	GCF_013085055.1	endophyte_biocontrol	5	NC_030990.1	core	4914260	4635650	94.3306	247	98.5552	141101	19641	4617278
Fo47	GCF_013085055.1	endophyte_biocontrol	6	NC_030991.1	lineage_specific	4589937	361066	7.8665	336	94.0007	9532	191467	173465
Fo47	GCF_013085055.1	endophyte_biocontrol	7	NC_030992.1	core	4347182	4136810	95.1607	218	98.5430	141662	4119076	18356
Fo47	GCF_013085055.1	endophyte_biocontrol	8	NC_030993.1	core	3984410	3752757	94.1860	231	98.3790	177644	34184	3718582
Fo47	GCF_013085055.1	endophyte_biocontrol	9	NC_030994.1	core	3304701	3091190	93.5392	172	98.5758	143074	2971033	120171
Fo47	GCF_013085055.1	endophyte_biocontrol	10	NC_030995.1	core	2896840	2686867	92.7517	156	98.3729	209667	2682807	4065
Fo47	GCF_013085055.1	endophyte_biocontrol	11	NC_030996.1	core	2337134	2192928	93.8298	153	97.9413	86545	7718	2185236
Fo47	GCF_013085055.1	endophyte_biocontrol	12	NC_030997.1	core	2233407	1989708	89.0885	198	97.3013	87974	1983253	6626
Fo47	GCF_013085055.1	endophyte_biocontrol	13	NC_030998.1	core	1751499	1623186	92.6741	109	97.8963	90571	3645	1619563
Fo47	GCF_013085055.1	endophyte_biocontrol	14	NC_030999.1	lineage_specific	1838362	136683	7.4350	167	94.5864	5997	86132	51531
Fo47	GCF_013085055.1	endophyte_biocontrol	15	NC_031000.1	lineage_specific	2434640	692651	28.4498	295	96.0843	27043	275690	435067
FoCL57	GCA_000260155.3	tomato_crown_root_rot	1	NC_030986.1	core	6854980	5771800	84.1986	284	98.7313	223849	5392504	387085
FoCL57	GCA_000260155.3	tomato_crown_root_rot	2	NC_030987.1	core	5577357	4523694	81.1082	305	98.5798	171860	4366543	158984
FoCL57	GCA_000260155.3	tomato_crown_root_rot	3	NC_030988.1	lineage_specific	5634991	588488	10.4435	442	93.3104	11314	287078	315665
FoCL57	GCA_000260155.3	tomato_crown_root_rot	4	NC_030989.1	core	5212762	4869233	93.4098	246	98.5497	171251	2370145	2499733
FoCL57	GCA_000260155.3	tomato_crown_root_rot	5	NC_030990.1	core	4914260	4618681	93.9853	271	98.5851	141101	15301	4605458
FoCL57	GCA_000260155.3	tomato_crown_root_rot	6	NC_030991.1	lineage_specific	4589937	405811	8.8413	352	93.3778	11340	224742	184681
FoCL57	GCA_000260155.3	tomato_crown_root_rot	7	NC_030992.1	core	4347182	4156352	95.6103	234	98.5189	141662	4129146	27769
FoCL57	GCA_000260155.3	tomato_crown_root_rot	8	NC_030993.1	core	3984410	3778174	94.8239	231	98.4211	127139	1430180	2348011
FoCL57	GCA_000260155.3	tomato_crown_root_rot	9	NC_030994.1	core	3304701	3105955	93.9860	177	98.5344	149199	1977914	1128058
FoCL57	GCA_000260155.3	tomato_crown_root_rot	10	NC_030995.1	core	2896840	2665534	92.0152	175	98.3683	236847	2559499	106085
FoCL57	GCA_000260155.3	tomato_crown_root_rot	11	NC_030996.1	core	2337134	2189045	93.6636	146	97.9705	107443	3532	2185697
FoCL57	GCA_000260155.3	tomato_crown_root_rot	12	NC_030997.1	core	2233407	1989392	89.0743	189	97.3575	87974	29099	1960888
