chromosome	chromosome_class	Fo47	FoCL57	FoCotton	FolD11
1	core	85.9410	84.1986	79.9356	94.3166
2	core	82.4009	81.1082	80.6712	87.4292
3	lineage_specific	10.6512	10.4435	17.5952	42.1815
4	core	93.5807	93.4098	90.8474	97.9420
5	core	94.3306	93.9853	94.0676	97.5848
6	lineage_specific	7.8665	8.8450	16.2739	54.0620
7	core	95.1607	95.6103	93.9265	98.6249
8	core	94.1860	94.8239	92.3686	98.3885
9	core	93.5392	93.9860	90.9487	98.9368
10	core	92.7517	92.0152	88.0893	97.9344
11	core	93.8298	93.6636	89.1822	98.3505
12	core	89.0885	89.0743	90.2315	99.1607
13	core	92.6741	93.0971	89.2946	97.8006
14	lineage_specific	7.4350	10.4726	28.6737	79.1329
15	lineage_specific	28.4498	13.1673	20.9838	68.2942
