fol_id	fol_chromosome	fol_chromosome_class	fol_start	fol_end	fo47_id	fo47_chromosome	fo47_chromosome_class	fo47_start	fo47_end	alignment_length_bp	percent_identity	orientation
NC_030986.1	1	core	292036	359230	NC_072840.1	I	core	6040464	6107602	67195	97.7400	opposite
NC_030986.1	1	core	578148	637619	NC_072840.1	I	core	5727972	5787472	59472	99.0200	opposite
NC_030986.1	1	core	789225	847960	NC_072840.1	I	core	5517442	5576121	58736	98.7400	opposite
NC_030986.1	1	core	973872	1025821	NC_072840.1	I	core	5340407	5392419	51950	99.1600	opposite
NC_030986.1	1	core	1062724	1123970	NC_072840.1	I	core	5242206	5303444	61247	99.1400	opposite
NC_030986.1	1	core	1158045	1216048	NC_072840.1	I	core	5150214	5208142	58004	98.8200	opposite
NC_030986.1	1	core	1268967	1396925	NC_072840.1	I	core	4969792	5097684	127959	99.0200	opposite
NC_030986.1	1	core	1610345	1711439	NC_072840.1	I	core	4603581	4704656	101095	99.1700	opposite
NC_030986.1	1	core	1784962	1838835	NC_072840.1	I	core	4476474	4530295	53874	99.1900	opposite
NC_030986.1	1	core	2090634	2211781	NC_072840.1	I	core	4105496	4226639	121148	99.2600	opposite
NC_030986.1	1	core	2252711	2308623	NC_072840.1	I	core	4006791	4062707	55913	99.2300	opposite
NC_030986.1	1	core	2308743	2376118	NC_072840.1	I	core	3939284	4006677	67376	99.0300	opposite
NC_030986.1	1	core	2376108	2429545	NC_072840.1	I	core	3885923	3939185	53438	98.4400	opposite
NC_030986.1	1	core	2465895	2560638	NC_072840.1	I	core	3754932	3849630	94744	99.2800	opposite
NC_030986.1	1	core	2753121	2815323	NC_072840.1	I	core	3502771	3564967	62203	99.1100	opposite
NC_030986.1	1	core	2815971	2899757	NC_072840.1	I	core	3419001	3502786	83787	99.3400	opposite
NC_030986.1	1	core	2992343	3147822	NC_072840.1	I	core	3171772	3327292	155480	99.2900	opposite
NC_030986.1	1	core	3171920	3274241	NC_072840.1	I	core	3045207	3147559	102322	99.2800	opposite
NC_030986.1	1	core	3384727	3511518	NC_072840.1	I	core	2808022	2934817	126792	99.1100	opposite
NC_030986.1	1	core	3541739	3625585	NC_072840.1	I	core	2691539	2775433	83847	99.1800	opposite
NC_030986.1	1	core	3632626	3714483	NC_072840.1	I	core	2602771	2684586	81858	99.1000	opposite
NC_030986.1	1	core	3749763	3823577	NC_072840.1	I	core	2493713	2567446	73815	99.1700	opposite
NC_030986.1	1	core	3826508	3903713	NC_072840.1	I	core	2414313	2491425	77206	98.9800	opposite
NC_030986.1	1	core	4068605	4178604	NC_072840.1	I	core	2142325	2252234	110000	99.1200	opposite
NC_030986.1	1	core	4178604	4276331	NC_072840.1	I	core	2044500	2142229	97728	99.2300	opposite
NC_030986.1	1	core	4343647	4444585	NC_072840.1	I	core	1877327	1978147	100939	98.9100	opposite
NC_030986.1	1	core	4588904	4812752	NC_072840.1	I	core	1508953	1732825	223849	99.1700	opposite
NC_030986.1	1	core	4859671	4927338	NC_072840.1	I	core	1395743	1463310	67668	99.0900	opposite
NC_030986.1	1	core	4975717	5058605	NC_072840.1	I	core	1265243	1348043	82889	99.0000	opposite
NC_030986.1	1	core	5158565	5308002	NC_072840.1	I	core	1012836	1162162	149438	99.1900	opposite
NC_030986.1	1	core	5479705	5534061	NC_072840.1	I	core	788086	842505	54357	98.1400	opposite
NC_030986.1	1	core	5553108	5635023	NC_072840.1	I	core	687021	768922	81916	98.9700	opposite
NC_030986.1	1	core	5650475	5706086	NC_072840.1	I	core	617022	672767	55612	98.1000	opposite
NC_030987.1	2	core	541596	608213	NC_072843.1	IV	core	4130199	4196662	66618	97.7800	opposite
NC_030987.1	2	core	752046	805482	NC_072843.1	IV	core	3941667	3995112	53437	98.7200	opposite
NC_030987.1	2	core	945177	996768	NC_072843.1	IV	core	3749914	3801542	51592	99.1400	opposite
NC_030987.1	2	core	1186119	1254407	NC_072843.1	IV	core	3494299	3562567	68289	99.2500	opposite
NC_030987.1	2	core	1306470	1361102	NC_072843.1	IV	core	3388566	3443129	54633	98.6900	opposite
NC_030987.1	2	core	1538257	1595838	NC_072843.1	IV	core	3127538	3185163	57582	98.9000	opposite
NC_030987.1	2	core	1779083	1850871	NC_072843.1	IV	core	2881687	2953481	71789	99.2900	opposite
NC_030987.1	2	core	1857298	2029157	NC_072843.1	IV	core	2703452	2875269	171860	99.3200	opposite
NC_030987.1	2	core	2075235	2146037	NC_072843.1	IV	core	2586788	2657541	70803	99.3800	opposite
NC_030987.1	2	core	2273565	2339376	NC_072843.1	IV	core	2395088	2460932	65812	98.9600	opposite
NC_030987.1	2	core	2369160	2424776	NC_072843.1	IV	core	2309753	2365345	55617	99.0800	opposite
NC_030987.1	2	core	2430816	2515623	NC_072843.1	IV	core	2219174	2304009	84808	99.2500	opposite
NC_030987.1	2	core	2751837	2802246	NC_072843.1	IV	core	1893618	1944011	50410	99.0400	opposite
NC_030987.1	2	core	2995602	3067898	NC_072843.1	IV	core	1627929	1700197	72297	99.3600	opposite
NC_030987.1	2	core	3114863	3190036	NC_072843.1	IV	core	1509321	1584321	75174	98.9600	opposite
